agegroup,sex,uhf42pov,povertygroup,mood1,noisedisruptwk,noisedisrupt,noiseneighbors_all,noiseconstruct_all,noisetraffic_all,noisesirens_all,noiserestaurant_all,noisestreet_all,noiseanimals_all,noisesubway_all,noiseneighbors,noiseconstruction,noisetraffic,noisesirens,noiserestaurant,noisestreet,noiseanimals,noisesubway
2.0,2.0,2.0,2.0,4.0,35.0,5.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0
3.0,1.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,2.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,1.0,2.0,2.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
2.0,2.0,2.0,,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,2.0,2.0,6.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
3.0,2.0,2.0,3.0,4.0,0.46511627906976744,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0
3.0,1.0,2.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
3.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,1.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
3.0,2.0,2.0,6.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
3.0,2.0,2.0,2.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
1.0,1.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
2.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
3.0,1.0,2.0,6.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,2.0,2.0,3.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
3.0,1.0,2.0,6.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
3.0,2.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
2.0,2.0,2.0,6.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,2.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
2.0,2.0,2.0,2.0,3.0,14.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
4.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2.0,1.0,2.0,4.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,1.0,2.0,4.0,5.0,35.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
3.0,2.0,2.0,4.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
4.0,2.0,2.0,6.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,1.0,2.0,2.0,5.0,14.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
4.0,2.0,2.0,4.0,5.0,35.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
2.0,2.0,2.0,1.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0
3.0,1.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
2.0,1.0,2.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
2.0,1.0,2.0,5.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
2.0,2.0,2.0,1.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,1.0,2.0,1.0,5.0,,,,,,,,,,,,,,,,,,
4.0,2.0,2.0,5.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,1.0,2.0,4.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
3.0,2.0,2.0,1.0,5.0,7.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
3.0,2.0,2.0,1.0,5.0,7.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0
3.0,2.0,2.0,3.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
3.0,2.0,2.0,4.0,3.0,259.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
4.0,2.0,2.0,6.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
3.0,2.0,2.0,1.0,3.0,7.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
4.0,2.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
2.0,1.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0
4.0,1.0,2.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
1.0,1.0,2.0,2.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,2.0,2.0,6.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0
3.0,2.0,2.0,,5.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
2.0,1.0,2.0,5.0,5.0,0.23255813953488372,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
3.0,2.0,2.0,2.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
2.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
3.0,2.0,2.0,6.0,4.0,693.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
4.0,1.0,2.0,1.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
2.0,2.0,2.0,3.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
2.0,2.0,2.0,4.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,1.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,2.0,2.0,3.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
3.0,1.0,2.0,3.0,5.0,0.46511627906976744,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
3.0,2.0,2.0,1.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
3.0,2.0,2.0,6.0,1.0,49.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
3.0,1.0,2.0,3.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
3.0,2.0,2.0,3.0,5.0,7.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
4.0,2.0,2.0,5.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
3.0,2.0,2.0,5.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
1.0,2.0,2.0,1.0,5.0,0.46511627906976744,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2.0,2.0,2.0,3.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
3.0,1.0,2.0,1.0,4.0,7.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
2.0,2.0,2.0,2.0,5.0,14.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
3.0,2.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
2.0,2.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
3.0,2.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,2.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,2.0,2.0,6.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
2.0,1.0,2.0,5.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
4.0,1.0,2.0,6.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
